ImageID,cluster
6119677716839104391,4
14802949761255250525,7
14124813423892560492,8
5482257461254211163,8
10081435122427592003,8
5061311136434187472,7
4958416638630567355,8
9021911849184547575,8
7879137831619105622,4
11301283022880292256,4
2482986803101084308,8
5557904799144361742,8
4906134811145591306,8
13255291466199807945,6
15772239429719824619,4
2916175739300112398,8
17036117858283710476,4
2257517101111337678,8
8955874342213678087,8
12901817071638607336,8
13571097998518312968,4
12197754767641080291,8
4368197064012183701,8
8565610481030993204,4
2610594974559026306,8
1453312082410740406,8
4930578460801027028,8
7726252359331514120,8
9539593687512498529,6
18074964933109873252,8
16524480890148777258,8
2822173471331530574,8
1863915739915229563,4
8172174123635381587,8
13852758152930042136,1
16186230723442775449,4
9730065085814348984,8
1258821349949363750,8
16463733558712462657,8
6952569277566731213,4
12791142673725577803,8
12282991218481043852,8
15333601458995638608,8
2638923818403806441,7
2025249689802100856,3
11158829398231542327,8
9593643566133306587,4
3123528369964042404,6
2229297445545243595,8
12808779107195514052,8
13735509822956982940,4
2045797967269461543,8
4402835139618994230,4
3357427581749319956,8
15014262255253157245,8
8324934697104179438,4
14243278788929986312,8
16653590050133239437,4
12503544608841643249,8
11791942462951058547,8
15933307988880993654,8
14946408090583899092,4
7250803019100265522,8
3993651850292752630,8
10684971523164505361,8
11094136386290599833,8
16329328126510120472,3
11598555010896960401,8
13880354744027833899,8
2569784127015142204,7
6466033156322077818,8
10327726065195715462,4
17202057061208824553,7
5184770856301135875,8
13554796294275223442,8
11599426646256363056,8
8433169429644591234,8
11050755043080921013,8
1112314673478359952,8
12931317833195558370,4
2598126596815446008,8
17105159711826496736,8
6356456612271404217,8
15380059299212833141,8
11711123445342193408,7
11809954950255382587,8
9406016220595350435,8
9097080240828249151,8
8003877745086405370,4
16574038186631444668,8
9181705565636133571,8
5709823008922145398,3
13583742609441451799,7
351122476443392576,4
6581411273129187113,4
13865747141550024478,3
14131088454697266015,8
8830607752858154899,4
9360044252150152476,8
12356694715351174590,8
7413560489702501286,8
10893956183265120408,8
13163049052274949485,8
16056390530546068114,8
5793875856278101412,8
9888752993132991649,8
154284345046005641,4
11479371178888963477,8
3795213040335330176,8
5634082806415916488,8
3180550044535127633,7
16724984885982884949,8
5002972119370492964,4
2313579475085018079,7
10108858518974202889,4
6460586498618425095,6
14521324226594075345,8
1950825183392606990,3
18035910787504506,4
5444276709101999057,6
8670328374389149860,4
11202905351109630697,4
1242042051469008189,8
3967221568303766160,8
3243734133251632447,7
1306137474826659607,6
120653533754155500,8
14091938816783367838,8
10792876355891825580,8
13639274117956591534,4
2850595053200135485,7
9949535053986008875,8
11047962905646758571,8
1268126512589097632,8
14129632345426102790,8
9015533434621970661,8
12897457947012239070,8
4371937631052350241,1
